Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Make,Model,Number_of_Engines,Engine_Type,Purpose_of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Report_Status
20190306X55846,Accident,CEN19LA101,3/6/19,"Granite Shoals, TX",United States,30.589444,-98.370278,2G5,Granite Shoals Airport,Non-Fatal,Substantial,Airplane,Cessna,150,1,Reciprocating,Personal,0,0,1,2,VMC,TAKEOFF,Factual
20190306X91402,Accident,ERA19TA120,3/5/19,"Atlantic Ocean, AO",United States,21.233334,-70.849722,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Cirrus,SR22,1,Reciprocating,Personal,0,0,2,0,VMC,Unknown,Factual
20190306X84237,Accident,ERA19LA119,3/5/19,"Stateboro, GA",United States,32.475278,-81.730556,TBR,Statesboro-Bulloch County,Non-Fatal,Destroyed,Airplane,OSTERTAG WALTER G,Velocity RG,1,Reciprocating,Instructional,0,0,1,1,VMC,LANDING,Factual
20190305X64637,Accident,ERA19FA118,3/5/19,"Talking Rock, GA",United States,34.533334,-84.5225,Unknown,Unknown,Fatal,Substantial,Helicopter,Hughes,369,0,Turbo Shaft,External Load,1,0,0,0,VMC,MANEUVERING,Preliminary
20190305X45612,Accident,ERA19FA116,3/5/19,"Fellsmere, FL",United States,27.715,-80.527223,Unknown,Unknown,Fatal,Substantial,Airplane,Piper,PA28,1,Reciprocating,Instructional,1,0,0,0,IMC,TAKEOFF,Preliminary
20190306X00748,Accident,CEN19FA093,3/5/19,"Summersville, MO",United States,37.179167,-91.661944,Unknown,Unknown,Fatal,Substantial,Airplane,PIPER,PA28,1,Reciprocating,Personal,1,0,0,0,VMC,Unknown,Preliminary
20190303X31449,Accident,CEN19LA092,3/3/19,"Union Center, SD",United States,44.564722,-102.661389,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,Bell,407,1,Turbo Shaft,Unknown,0,0,1,2,VMC,Unknown,Factual
20190302X55746,Accident,GAA19CA162,3/2/19,"Scottsdale, AZ",United States,33.626389,-111.905833,SDL,SCOTTSDALE,Non-Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,Instructional,0,0,0,1,VMC,GO-AROUND,Probable Cause
20190305X22343,Accident,GAA19CA155,3/2/19,"Palmer, AK",United States,61.798055,-149.503333,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Champion,8GCBC,1,Reciprocating,Personal,0,0,0,1,VMC,LANDING,Probable Cause
20190302X03307,Accident,ERA19TA114,3/2/19,"Merritt Island, FL",United States,28.341389,-80.685277,COI,Merritt Island,Non-Fatal,Substantial,Airplane,REMPE,KITFOX,1,Reciprocating,Personal,0,1,0,0,VMC,LANDING,Factual
20190305X14814,Accident,WPR19LA092,3/1/19,"Melba, ID",United States,43.426945,-116.621111,MAN,Nampa Muni,Non-Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,Instructional,0,0,0,2,VMC,MANEUVERING,Preliminary
20190302X82302,Accident,ERA19FA113,3/1/19,"Louisburg, NC",United States,36.001944,-78.354722,LHZ,Triangle North Executive,Fatal,Destroyed,Airplane,Cessna,182,1,Reciprocating,Personal,3,0,0,0,IMC,TAKEOFF,Factual
20190302X81245,Accident,ERA19FA112,3/1/19,"Fort Lauderdale, FL",United States,26.166111,-80.101111,Unknown,Unknown,Fatal,Destroyed,Airplane,PIPER,PA25,1,Reciprocating,Banner Tow,1,0,0,0,VMC,MANEUVERING,Preliminary
20190228X53927,Accident,GAA19CA154,2/28/19,"Floodwood, MN",United States,46.976945,-92.83,PVT,PVT,Non-Fatal,Substantial,Airplane,Denney,KITFOX MDL CLASSICIV,1,Reciprocating,Personal,0,0,0,1,VMC,LANDING,Probable Cause
20190228X70708,Accident,ERA19TA111,2/28/19,"West Palm Beach, AO",United States,26.659444,-79.688055,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Piper,PA32,1,Reciprocating,Personal,0,0,0,1,VMC,Unknown,Factual
20190228X71730,Accident,ERA19TA110,2/28/19,"TULLAHOMA, TN",United States,35.345833,-86.270278,THA,Tullahoma Rgnl Arpt/Wm Norther,Non-Fatal,Substantial,Helicopter,SIKORSKY,HH-60L,2,Turbo Shaft,Ferry,0,2,0,0,IMC,CRUISE,Preliminary
20190228X04828,Accident,CEN19FA088,2/28/19,"Shreveport, LA",United States,32.548611,-93.761389,DTN,Shreveport Downtown,Fatal,Substantial,Airplane,Piper,PA46,1,Turbo Prop,Personal,2,0,0,0,IMC,TAKEOFF,Factual
20190228X14525,Accident,CEN19LA087,2/27/19,"Devine, TX",United States,29.275,-98.8775,Unknown,Private Airstrip,Non-Fatal,Substantial,Airplane,Warner Aerocraft,Space Walker II,1,Reciprocating,Personal,0,1,0,0,VMC,MANEUVERING,Preliminary
20190226X00954,Accident,ERA19LA109,2/26/19,"Louisville, KY",United States,38.228056,-85.663611,LOU,Bowman Field Airport,Non-Fatal,Substantial,Airplane,Piper,PA28,1,Reciprocating,Personal,0,0,0,1,VMC,TAKEOFF,Preliminary
